name,matric_no,department,level,attendance,study_hours,ca1,ca2,assignment_score,num_courses,exam_score,gpa_sem1,gpa_sem2,cgpa,avg_course_score,at_risk
Emeka Balogun,20221000017,Business Education,400,68.0,8.0,91.0,36,42,7,36.41987744528908,1.0,2.0,1.5,34.07743365404035,1
Ibrahim Nwosu,20181100018,Early Childhood Education,100,58.0,6.0,63.0,71,62,9,30.113641148934448,0.0,0.0,0.0,36.74785187672506,1
Kemi Ogunleye,20210900019,Educational Management,100,58.0,1.0,85.0,65,34,9,71.88307840369612,5.0,4.0,4.5,74.60001611360751,0
Tunde Adeyemi,20200200020,History,400,41.0,5.0,42.0,56,56,5,31.95874422942165,0.0,0.0,0.0,32.415703609035326,1
Kemi Okeke,20181200021,Economics,300,80.0,8.0,85.0,87,53,6,75.54937781547461,5.0,5.0,5.0,75.79800117745161,0
Yusuf Ajayi,20180200022,History,100,84.0,3.0,47.0,75,96,5,75.42013640404417,5.0,5.0,5.0,76.28909696674508,0
Yusuf Nwosu,20201300023,Yoruba Education,200,54.0,6.0,83.0,95,92,9,93.52980071535646,5.0,5.0,5.0,92.9234968742938,0
Tunde Adeyemi,20231100024,Early Childhood Education,300,42.0,5.0,72.0,54,77,7,70.80221686715947,4.0,5.0,4.5,71.18689049167094,0
Ibrahim Eze,20181100025,Early Childhood Education,300,50.0,6.0,68.0,56,92,9,59.69332492081257,4.0,3.0,3.5,61.19146390265996,0
Chioma Olawale,20210600026,Guidance and Counselling,400,92.0,1.0,90.0,30,41,8,59.850662055968805,3.0,3.0,3.0,57.67105341407217,0
Aisha Okeke,20220100027,Physics,400,85.0,7.0,71.0,71,57,9,73.17064726039044,5.0,5.0,5.0,68.26829970487934,0
Ngozi Adeyemi,20181400028,Political Science,200,69.0,9.0,47.0,81,73,9,59.408595086095126,3.0,4.0,3.5,53.18166678242628,0
Tunde Abdullahi,20210700029,Chemistry,100,96.0,2.0,52.0,54,72,8,54.44056541402843,3.0,2.0,2.5,57.104261870829575,0
Sola Sanni,20190500030,English Language,400,79.0,5.0,83.0,83,46,6,91.34844312504478,5.0,5.0,5.0,86.59967063689243,0
Aisha Abdullahi,20211200031,Economics,400,57.0,4.0,59.0,96,69,9,67.68450901962898,5.0,4.0,4.5,69.08054100150261,0
Tunde Sanni,20220900032,Educational Management,300,90.0,6.0,87.0,35,78,5,62.01913917676004,3.0,4.0,3.5,58.55607149161564,0
Tunde Sanni,20210400033,Biology,400,87.0,6.0,97.0,87,86,9,91.51811640413798,5.0,5.0,5.0,88.1033785659582,0
Aisha Eze,20200100034,Physics,400,41.0,2.0,96.0,99,93,5,92.67963221872488,5.0,5.0,5.0,90.5250359372076,0
Ibrahim Ajayi,20221200035,Economics,400,71.0,2.0,47.0,82,86,8,81.03922152880058,5.0,5.0,5.0,81.62161798481752,0
Ngozi Nwosu,20230700036,Chemistry,400,47.0,,36.0,95,99,9,61.44271161447735,4.0,3.0,3.5,57.57693648934457,0
Tunde Nwosu,20190600037,Guidance and Counselling,300,61.0,1.0,,87,72,8,60.40429172219087,4.0,4.0,4.0,58.55349431130851,0
Ngozi Sanni,20200500038,English Language,200,,9.0,99.0,31,52,8,49.88892268466845,3.0,2.0,2.5,49.81176546812678,0
Kemi Ajayi,20230100039,Physics,200,51.0,7.0,94.0,51,56,6,55.91605917504562,4.0,3.0,3.5,52.2852738025048,0
Ade Ajayi,20210700040,Chemistry,100,86.0,7.0,97.0,66,87,9,61.36639196332074,4.0,4.0,4.0,65.65109460674482,0
Ibrahim Ajayi,20221000041,Business Education,400,96.0,3.0,78.0,49,66,5,14.194017103602716,0.0,0.0,0.0,9.026403875821307,1
Ngozi Olawale,20191000042,Business Education,300,79.0,3.0,81.0,53,35,5,67.21818226412498,5.0,4.0,4.5,66.56367471677248,0
Ngozi Eze,20200200043,History,100,75.0,,58.0,94,94,9,53.29906171638804,3.0,3.0,3.0,57.11668361414454,0
Chioma Olawale,20230200044,History,100,54.0,3.0,50.0,94,35,6,77.72748264126407,4.0,5.0,4.5,73.75408294959225,0
Ngozi Balogun,20230700045,Chemistry,200,67.0,3.0,38.0,30,79,6,49.96268046417512,3.0,2.0,2.5,49.63380291271198,0
Chioma Olawale,20191200046,Economics,300,91.0,4.0,76.0,32,51,6,52.2812008154656,2.0,3.0,2.5,52.67977686346735,0
Emeka Sanni,20210200047,History,300,96.0,4.0,71.0,75,54,5,81.49572351894453,5.0,5.0,5.0,79.07541216293697,0
Ibrahim Sanni,20190500048,English Language,300,88.0,3.0,80.0,84,80,8,83.05537028842882,5.0,5.0,5.0,82.82292196543317,0
Kemi Ogunleye,20230100049,Physics,200,,8.0,,93,77,6,65.49572638404578,3.0,4.0,3.5,67.18005976662563,0
Kemi Eze,20181200050,Economics,200,57.0,8.0,80.0,74,99,5,82.40637513797226,5.0,5.0,5.0,81.00495304301859,0
Tunde Olawale,20200200051,History,200,41.0,1.0,99.0,55,94,5,55.01008599944729,3.0,4.0,3.5,57.30307484183845,0
Ibrahim Ogunleye,20190800052,Mathematics,200,52.0,7.0,49.0,94,89,8,88.14980407604519,5.0,5.0,5.0,89.32799689719116,0
Ngozi Nwosu,20230900053,Educational Management,200,84.0,2.0,,53,75,9,59.92283093251287,4.0,3.0,3.5,58.174130329052566,0
Chioma Eze,20210800054,Mathematics,400,93.0,1.0,67.0,64,65,9,56.92548836616935,2.0,3.0,2.5,60.307851467537,0
Sola Balogun,20231500055,Geography,400,54.0,3.0,94.0,53,87,6,61.69548344830948,4.0,4.0,4.0,59.47267210726012,0
Ade Balogun,20211000056,Business Education,300,59.0,4.0,83.0,57,67,6,68.74641794049454,5.0,4.0,4.5,71.31409785671018,0
Emeka Balogun,20190600057,Guidance and Counselling,100,68.0,6.0,53.0,45,40,8,60.46453039924528,4.0,3.0,3.5,58.29548330438708,0
Ade Nwosu,20210300058,Computer Science,300,98.0,5.0,76.0,88,41,6,62.207641788792856,4.0,4.0,4.0,61.259421712267645,0
Yusuf Ogunleye,20220900059,Educational Management,100,81.0,4.0,92.0,83,71,8,87.74850290589916,5.0,5.0,5.0,87.26057003656773,0
Ibrahim Ajayi,20221000060,Business Education,200,68.0,8.0,86.0,45,68,5,72.28789806543703,5.0,5.0,5.0,73.30364733809611,0
Yusuf Sanni,20221200061,Economics,100,42.0,4.0,84.0,44,40,6,69.92400428858323,5.0,5.0,5.0,62.68365977773281,0
Chioma Ogunleye,20181200062,Economics,300,58.0,2.0,89.0,40,65,5,52.885799214992495,3.0,3.0,3.0,54.25984586946206,0
Ade Adeyemi,20191200063,Economics,300,42.0,3.0,91.0,94,81,7,96.83669581594066,5.0,5.0,5.0,96.52925814651344,0
Aisha Nwosu,20230600064,Guidance and Counselling,100,93.0,6.0,59.0,97,60,8,79.80108424029352,5.0,5.0,5.0,80.6583047241233,0
Ibrahim Ogunleye,20230800065,Mathematics,400,53.0,8.0,51.0,72,62,7,34.81701919514535,0.0,0.0,0.0,36.32448416601166,1
Aisha Ogunleye,20180300066,Computer Science,200,79.0,8.0,58.0,98,42,6,55.835066550677375,4.0,3.0,3.5,57.016493064651165,0
Chioma Abdullahi,20210500067,English Language,200,98.0,9.0,70.0,42,47,5,74.91727434452989,5.0,5.0,5.0,68.89519178775274,0
Tunde Sanni,20180200068,History,300,94.0,7.0,71.0,39,70,6,71.49050238236613,4.0,4.0,4.0,68.30747058600207,0
Kemi Nwosu,20211200069,Economics,400,43.0,2.0,94.0,70,87,7,55.06114123630092,4.0,2.0,3.0,56.05958903927911,0
Sola Adeyemi,20211400070,Political Science,100,98.0,8.0,60.0,79,85,6,77.53469312074415,5.0,5.0,5.0,78.13378171062034,0
Yusuf Ogunleye,20201500071,Geography,200,99.0,7.0,59.0,88,53,9,67.49095249006952,4.0,5.0,4.5,65.12229143352056,0
Kemi Ogunleye,20230900072,Educational Management,400,91.0,8.0,47.0,68,60,7,66.34551122800758,5.0,5.0,5.0,68.55842882818722,0
Ade Olawale,20220100073,Physics,200,50.0,3.0,,32,84,6,60.996492849679015,4.0,4.0,4.0,60.22721734229327,0
Kemi Ajayi,20210200074,History,400,97.0,7.0,,36,39,5,54.33742317035951,3.0,3.0,3.0,56.99460223200507,0
Aisha Ajayi,20201400075,Political Science,400,70.0,9.0,43.0,78,89,6,69.55879370583294,5.0,4.0,4.5,73.18885764017017,0
Chioma Ogunleye,20230300076,Computer Science,300,82.0,3.0,85.0,55,31,5,58.28963699396712,3.0,3.0,3.0,59.124543148656656,0
Sola Eze,20220600077,Guidance and Counselling,200,71.0,6.0,51.0,62,44,9,65.63727028452533,4.0,4.0,4.0,67.30392773002299,0
Kemi Nwosu,20210500078,English Language,100,66.0,2.0,96.0,77,32,6,79.06262723627995,5.0,5.0,5.0,77.23724699198317,0
Ade Balogun,20210500079,English Language,300,69.0,2.0,85.0,31,72,9,41.34633741081109,0.0,0.0,0.0,44.022967029241045,1
Yusuf Eze,20180300080,Computer Science,300,82.0,5.0,48.0,61,60,7,57.832202203931175,3.0,3.0,3.0,58.48657531297418,0
Sola Eze,20180100081,Physics,100,41.0,5.0,86.0,33,99,5,55.98019531851224,3.0,4.0,3.5,55.0960622019797,0
Kemi Adeyemi,20230900082,Educational Management,300,88.0,7.0,73.0,49,96,7,53.11861852691372,3.0,3.0,3.0,49.46216352726076,0
Ade Olawale,20221300083,Yoruba Education,400,48.0,2.0,64.0,65,85,5,50.726604398555565,3.0,3.0,3.0,49.27028029124327,0
Yusuf Adeyemi,20210100084,Physics,400,67.0,7.0,30.0,61,92,9,55.45536461605073,4.0,4.0,4.0,52.1269379815315,0
Ibrahim Okeke,20230500085,English Language,200,70.0,5.0,81.0,57,44,8,61.14562423779928,3.0,3.0,3.0,63.43009345461736,0
Chioma Olawale,20230700086,Chemistry,200,99.0,6.0,99.0,30,39,6,58.06157480914087,3.0,3.0,3.0,61.72286453790747,0
Emeka Olawale,20190900087,Educational Management,100,73.0,8.0,66.0,89,67,9,67.14298044204972,5.0,4.0,4.5,69.89178803883934,0
Ngozi Olawale,20180300088,Computer Science,200,95.0,4.0,94.0,85,76,5,76.54961004271058,5.0,5.0,5.0,84.0076707815436,0
Ade Okeke,20220500089,English Language,400,54.0,7.0,80.0,64,86,5,79.37859687833827,5.0,5.0,5.0,77.99737611384735,0
Tunde Abdullahi,20210500090,English Language,100,87.0,6.0,30.0,59,79,5,18.94958586629788,0.0,0.0,0.0,20.73930290094853,1
Ibrahim Nwosu,20231200091,Economics,100,64.0,2.0,50.0,83,44,5,53.83279942914583,3.0,3.0,3.0,50.288734535397296,0
Ade Olawale,20210300092,Computer Science,200,75.0,8.0,82.0,65,47,6,97.66919316229524,5.0,5.0,5.0,97.07744124123832,0
Chioma Okeke,20191300093,Yoruba Education,400,47.0,9.0,45.0,84,31,7,66.55444693383859,4.0,4.0,4.0,62.12239930727396,0
Emeka Sanni,20220300094,Computer Science,100,48.0,5.0,90.0,87,72,8,93.93850536491554,5.0,5.0,5.0,95.64308831682992,0
Sola Ogunleye,20231300095,Yoruba Education,400,,4.0,83.0,94,55,6,38.69943097910855,0.0,0.0,0.0,37.63295599036594,1
Aisha Ogunleye,20210900096,Educational Management,400,97.0,6.0,69.0,98,67,5,56.28354193149863,3.0,3.0,3.0,50.11979585691287,0
Ngozi Olawale,20181500097,Geography,400,76.0,8.0,55.0,80,71,6,77.31509624533764,5.0,5.0,5.0,75.26004091653245,0
Sola Eze,20190700098,Chemistry,200,87.0,3.0,94.0,51,34,9,69.43935988617964,4.0,5.0,4.5,74.81870286900214,0
Emeka Adeyemi,20220200099,History,300,84.0,1.0,93.0,82,40,5,47.87866733727114,2.0,2.0,2.0,49.10995699902384,0
Tunde Abdullahi,20190300100,Computer Science,300,78.0,4.0,72.0,65,94,8,62.4517162127536,5.0,5.0,5.0,64.75899420162085,0
Sola Olawale,20181400101,Political Science,100,,4.0,46.0,97,63,5,70.66045933374356,4.0,5.0,4.5,71.03709517164285,0
Kemi Abdullahi,20221000102,Business Education,400,97.0,1.0,88.0,65,30,8,44.14303766971851,1.0,0.0,0.5,43.59836090493281,1
Chioma Adeyemi,20190400103,Biology,200,91.0,9.0,52.0,81,31,8,67.84417688198415,5.0,3.0,4.0,67.89091392341281,0
Aisha Balogun,20200400104,Biology,400,56.0,3.0,36.0,82,49,7,27.53899908738468,0.0,0.0,0.0,28.275297260056035,1
Yusuf Balogun,20180300105,Computer Science,400,74.0,5.0,73.0,79,90,7,84.10557437501814,5.0,5.0,5.0,80.8156170382151,0
Chioma Adeyemi,20181300106,Yoruba Education,200,76.0,6.0,82.0,70,50,6,53.57770762190635,2.0,3.0,2.5,55.866893669122014,0
Ibrahim Adeyemi,20181400107,Political Science,300,58.0,8.0,63.0,47,97,6,63.49269010225235,4.0,4.0,4.0,66.85817257821479,0
Kemi Olawale,20201500108,Geography,400,83.0,6.0,75.0,51,41,8,70.97142349467049,4.0,4.0,4.0,70.38165530383749,0
Ngozi Ogunleye,20201200109,Economics,400,68.0,3.0,97.0,95,51,5,77.27236069950835,5.0,5.0,5.0,75.7032394106586,0
Tunde Eze,20211300110,Yoruba Education,300,98.0,6.0,45.0,50,49,9,53.85350552312133,1.0,3.0,2.0,51.62777852418692,0
Ade Ajayi,20230600111,Guidance and Counselling,200,46.0,1.0,48.0,73,30,9,61.63471114200265,4.0,3.0,3.5,66.91236095268994,0
Kemi Okeke,20190600112,Guidance and Counselling,100,67.0,4.0,31.0,76,59,5,41.32152433871335,1.0,1.0,1.0,39.964711821132674,1
Ibrahim Sanni,20210900113,Educational Management,300,48.0,6.0,39.0,68,53,5,57.54177772824156,4.0,2.0,3.0,59.50172067088518,0
Chioma Ogunleye,20190400114,Biology,100,67.0,7.0,79.0,58,43,7,52.21419993198247,4.0,3.0,3.5,51.645478845534505,0
Yusuf Ajayi,20230300115,Computer Science,100,45.0,,41.0,83,65,9,70.40068211972923,4.0,5.0,4.5,69.66979195257544,0
Aisha Olawale,20200600116,Guidance and Counselling,300,68.0,9.0,99.0,46,98,8,93.7807855153169,5.0,5.0,5.0,91.48653641469971,0
Tunde Olawale,20230300117,Computer Science,400,,7.0,51.0,89,53,6,79.90476605850294,5.0,5.0,5.0,76.9938675702209,0
Emeka Nwosu,20200900118,Educational Management,100,56.0,1.0,61.0,60,89,7,81.81795617695671,5.0,5.0,5.0,84.03771845769636,0
Ibrahim Ajayi,20230400119,Biology,100,55.0,2.0,30.0,78,84,9,68.22376524613605,4.0,4.0,4.0,65.24499780604584,0
Kemi Balogun,20210100120,Physics,200,62.0,1.0,83.0,31,53,5,43.67889212333813,2.0,0.0,1.0,45.066449842114366,1
Chioma Balogun,20221500121,Geography,400,70.0,9.0,87.0,77,53,9,74.90895873986877,5.0,5.0,5.0,75.18071051031326,0
Aisha Eze,20211000122,Business Education,100,42.0,9.0,99.0,43,83,8,77.71601802330312,5.0,5.0,5.0,79.97393362674083,0
Sola Eze,20191000123,Business Education,200,60.0,7.0,47.0,88,55,7,62.887046415931806,4.0,4.0,4.0,61.05718468416014,0
Ade Eze,20210600124,Guidance and Counselling,400,65.0,3.0,35.0,87,95,5,81.4505290970653,5.0,5.0,5.0,84.69096159662558,0
Aisha Olawale,20181000125,Business Education,300,75.0,5.0,74.0,87,67,8,45.85983178502074,0.0,3.0,1.5,45.43626003874973,1
Ngozi Adeyemi,20190500126,English Language,300,81.0,4.0,52.0,80,94,6,88.55183416081039,5.0,5.0,5.0,96.32691832473908,0
Sola Eze,20231500127,Geography,200,76.0,7.0,52.0,31,80,7,50.75302339609346,3.0,1.0,2.0,45.91049439119894,0
Aisha Balogun,20191300128,Yoruba Education,300,92.0,9.0,55.0,70,64,8,44.45441474400908,1.0,1.0,1.0,51.74121895823979,1
Kemi Balogun,20220100129,Physics,100,61.0,2.0,36.0,45,72,8,35.04373307849842,1.0,0.0,0.5,34.66463508433,1
Kemi Okeke,20201500130,Geography,400,81.0,8.0,73.0,33,58,5,35.7480994586052,0.0,0.0,0.0,36.41650576376178,1
Tunde Okeke,20230500131,English Language,100,51.0,9.0,,41,66,6,37.88422290646872,0.0,1.0,0.5,36.07135461164128,1
Sola Balogun,20191100132,Early Childhood Education,100,81.0,9.0,55.0,58,87,8,71.24670130270081,4.0,4.0,4.0,66.54005742363066,0
Kemi Adeyemi,20231300133,Yoruba Education,300,52.0,7.0,65.0,36,83,7,76.78389899497472,5.0,5.0,5.0,75.19870867891359,0
Ade Adeyemi,20230500134,English Language,100,50.0,9.0,84.0,43,68,8,69.39370382886031,5.0,4.0,4.5,68.29664287424295,0
Ade Nwosu,20230300135,Computer Science,300,93.0,9.0,93.0,41,71,9,76.01419608438607,5.0,5.0,5.0,76.5626012225783,0
Aisha Eze,20200900136,Educational Management,400,55.0,3.0,86.0,34,57,7,41.121991085233184,1.0,1.0,1.0,44.48540612026424,1
Ngozi Ogunleye,20210200137,History,400,47.0,4.0,,61,58,7,46.63378698948172,1.0,2.0,1.5,47.20597916930306,1
Chioma Olawale,20230100138,Physics,100,79.0,2.0,90.0,72,72,8,62.06942413449077,4.0,4.0,4.0,62.69384942433869,0
Ade Balogun,20180200139,History,200,98.0,3.0,31.0,98,32,5,48.1192987277121,1.0,2.0,1.5,49.27240187726252,1
Sola Ogunleye,20220900140,Educational Management,300,96.0,5.0,84.0,74,39,7,60.12026014430572,3.0,4.0,3.5,54.85546956495697,0
Sola Abdullahi,20200900141,Educational Management,300,79.0,5.0,67.0,38,88,9,64.06461199179854,4.0,4.0,4.0,59.07703848539027,0
Sola Balogun,20190500142,English Language,100,84.0,6.0,58.0,78,43,5,62.82055001948755,4.0,4.0,4.0,58.32958305289465,0
Sola Eze,20200400143,Biology,300,98.0,7.0,55.0,62,76,5,70.28511236269321,4.0,5.0,4.5,69.16529078870715,0
Tunde Nwosu,20190500144,English Language,300,41.0,7.0,64.0,47,71,5,64.35696560928156,4.0,4.0,4.0,58.74182025010944,0
Ade Olawale,20200200145,History,200,69.0,1.0,96.0,38,61,7,53.29098237744531,3.0,1.0,2.0,51.221619743258,0
Emeka Balogun,20190500146,English Language,200,69.0,2.0,58.0,91,61,5,40.27338814670656,2.0,1.0,1.5,36.16864041176351,1
Aisha Balogun,20230300147,Computer Science,100,51.0,9.0,63.0,86,71,8,71.03044659853408,5.0,5.0,5.0,72.49359287713013,0
Ade Olawale,20210500148,English Language,200,49.0,2.0,70.0,58,61,5,52.82407094711864,4.0,4.0,4.0,54.137037833843394,0
Emeka Abdullahi,20191400149,Political Science,100,83.0,6.0,70.0,54,55,9,43.298573662330135,1.0,3.0,2.0,42.39664154312224,0
Chioma Ajayi,20191000150,Business Education,400,50.0,1.0,52.0,44,30,6,28.280993309161246,0.0,0.0,0.0,22.58111055466042,1
Emeka Eze,20180200151,History,100,,3.0,,35,85,9,54.16979312543352,2.0,3.0,2.5,53.45836139712499,0
Ade Nwosu,20191400152,Political Science,400,55.0,2.0,87.0,71,31,7,47.668563596423326,4.0,2.0,3.0,48.65444194255164,0
Chioma Olawale,20180400153,Biology,100,56.0,3.0,61.0,58,59,5,44.82507237658979,2.0,1.0,1.5,47.25725237830683,1
Aisha Nwosu,20220900154,Educational Management,300,65.0,5.0,60.0,33,81,5,46.266561738314245,1.0,2.0,1.5,51.526775620253154,1
Ibrahim Olawale,20230600155,Guidance and Counselling,200,41.0,6.0,72.0,86,38,8,74.44402200463205,5.0,5.0,5.0,77.79951654589709,0
Chioma Okeke,20181500156,Geography,400,89.0,9.0,36.0,78,51,5,91.35256468475296,5.0,5.0,5.0,91.84689427195676,0
Kemi Sanni,20211300157,Yoruba Education,100,51.0,4.0,30.0,73,63,9,55.22946367755967,4.0,3.0,3.5,54.37373965663755,0
Sola Sanni,20231000158,Business Education,200,90.0,7.0,90.0,43,78,7,82.57375814684632,5.0,5.0,5.0,80.34495585797248,0
Chioma Eze,20181300159,Yoruba Education,100,65.0,6.0,43.0,32,30,6,47.40270788729997,2.0,3.0,2.5,51.46969357496975,0
Ngozi Okeke,20230500160,English Language,200,62.0,2.0,81.0,91,82,5,60.91357721255688,3.0,3.0,3.0,61.4133489516542,0
Sola Ogunleye,20231100161,Early Childhood Education,200,57.0,8.0,35.0,93,69,6,73.32313207376096,5.0,5.0,5.0,75.21476469981131,0
Tunde Sanni,20231000162,Business Education,100,71.0,7.0,39.0,74,74,5,69.10342630042453,5.0,5.0,5.0,67.33276708663645,0
Tunde Sanni,20220300163,Computer Science,400,88.0,7.0,59.0,87,97,7,80.58879017806949,5.0,5.0,5.0,76.86606298154007,0
Ade Eze,20211100164,Early Childhood Education,400,77.0,8.0,50.0,49,38,9,50.69429433505113,3.0,0.0,1.5,49.49328118023295,1
Ade Ajayi,20200700165,Chemistry,300,96.0,1.0,89.0,87,51,7,78.7871734785913,5.0,5.0,5.0,77.87838868117441,0
Sola Ogunleye,20200800166,Mathematics,200,86.0,1.0,92.0,86,47,6,65.04903467663556,5.0,4.0,4.5,65.62435197756797,0
Yusuf Ogunleye,20180800167,Mathematics,300,42.0,8.0,71.0,97,72,5,83.57989008224803,5.0,5.0,5.0,81.3675884152961,0
Yusuf Balogun,20230800168,Mathematics,300,77.0,4.0,80.0,81,68,6,72.88646353970438,5.0,5.0,5.0,72.96137312985027,0
Tunde Ajayi,20180700169,Chemistry,100,42.0,5.0,93.0,66,35,9,60.423245490366746,4.0,3.0,3.5,63.9563645534318,0
Ngozi Sanni,20221300170,Yoruba Education,100,69.0,8.0,85.0,37,77,7,69.54157132870247,5.0,4.0,4.5,64.52268650009107,0
Ibrahim Ajayi,20220300171,Computer Science,100,40.0,5.0,70.0,73,36,6,54.80226760876229,2.0,3.0,2.5,48.451559832893246,0
Aisha Adeyemi,20191100172,Early Childhood Education,200,69.0,4.0,61.0,34,98,6,29.915327291102685,0.0,0.0,0.0,33.653068836958056,1
Ade Eze,20220700173,Chemistry,100,84.0,6.0,44.0,98,45,9,42.35741868491558,2.0,1.0,1.5,37.96653931081872,1
Chioma Ogunleye,20190800174,Mathematics,100,71.0,5.0,91.0,60,30,5,72.22464810126434,5.0,5.0,5.0,71.08443220058697,0
Tunde Okeke,20210400175,Biology,200,67.0,7.0,56.0,74,66,6,51.178525714245154,3.0,1.0,2.0,53.00396475816461,0
Ibrahim Abdullahi,20180100176,Physics,200,60.0,7.0,57.0,38,66,9,33.749778917423924,0.0,0.0,0.0,33.572100411411604,1
Chioma Ajayi,20211100177,Early Childhood Education,400,97.0,4.0,93.0,61,93,5,75.7993999120041,5.0,5.0,5.0,75.57953627499339,0
Yusuf Abdullahi,20220200178,History,100,85.0,5.0,88.0,62,91,5,67.70469415714435,4.0,5.0,4.5,67.92188410059924,0
Yusuf Sanni,20210900179,Educational Management,100,52.0,3.0,87.0,96,90,7,62.7318954161811,4.0,3.0,3.5,70.28803771406449,0
Sola Olawale,20210700180,Chemistry,100,66.0,4.0,31.0,59,62,9,46.56391359684785,2.0,2.0,2.0,51.90578846459949,0
Aisha Sanni,20210300181,Computer Science,400,75.0,4.0,65.0,58,95,5,83.91558417932117,5.0,5.0,5.0,81.83440825271602,0
Sola Abdullahi,20220300182,Computer Science,100,46.0,3.0,42.0,32,59,7,58.03348002180303,4.0,3.0,3.5,61.18614474464364,0
Emeka Olawale,20230200183,History,400,61.0,5.0,44.0,86,49,8,54.00872787548832,4.0,2.0,3.0,55.525251148263706,0
Ngozi Nwosu,20211400184,Political Science,300,49.0,5.0,89.0,59,89,9,72.35043935379869,5.0,5.0,5.0,72.29189494554359,0
Emeka Ogunleye,20190100185,Physics,400,78.0,7.0,51.0,38,53,8,54.84180879639878,3.0,3.0,3.0,52.11820237096655,0
Aisha Abdullahi,20221100186,Early Childhood Education,300,92.0,4.0,92.0,55,33,5,76.20892340122255,5.0,5.0,5.0,77.56302749555894,0
Aisha Balogun,20210600187,Guidance and Counselling,100,54.0,4.0,54.0,31,66,9,48.37412885868725,2.0,2.0,2.0,47.455992463494,0
Ibrahim Eze,20231000188,Business Education,300,54.0,9.0,77.0,91,33,7,77.0354723612822,5.0,4.0,4.5,75.89679213649472,0
Aisha Okeke,20220800189,Mathematics,400,43.0,,72.0,32,47,5,38.376952965384,0.0,1.0,0.5,36.075738911427386,1
Yusuf Balogun,20201100190,Early Childhood Education,200,71.0,4.0,67.0,75,95,9,69.26165268726598,5.0,5.0,5.0,72.26112325045325,0
Ade Eze,20230500191,English Language,300,62.0,2.0,70.0,97,77,9,77.86411977276046,5.0,5.0,5.0,75.56090571687231,0
Chioma Sanni,20190600192,Guidance and Counselling,300,94.0,6.0,74.0,54,62,8,65.29883349918887,4.0,5.0,4.5,63.013897782381584,0
Ibrahim Sanni,20211400193,Political Science,100,45.0,2.0,69.0,80,87,5,57.03611604042399,3.0,4.0,3.5,59.36992934316491,0
Emeka Sanni,20200800194,Mathematics,400,63.0,5.0,46.0,42,57,7,34.7734618004793,0.0,0.0,0.0,34.34047039707002,1
Emeka Ogunleye,20200100195,Physics,300,59.0,6.0,,73,64,7,47.64141300943914,2.0,2.0,2.0,47.28915743808126,0
Kemi Nwosu,20221500196,Geography,300,97.0,4.0,31.0,64,39,5,53.27937098978826,3.0,2.0,2.5,56.37805144206328,0
Ade Sanni,20200500197,English Language,300,76.0,3.0,91.0,84,94,5,67.84171487566223,5.0,4.0,4.5,71.78281671103804,0
Yusuf Olawale,20191400198,Political Science,300,59.0,7.0,38.0,38,71,6,35.29713227241486,0.0,0.0,0.0,28.9135951066143,1
